video_id,start,end,singer,style,labels
fJ9rUzIMcZQ,0,358,Queen,pop,"original, official"
vbvyNnw8Qjg,24,163,Queen,pop,"original, live, live aid"
qF0JV28vgLw,95,225,Angelina Jordan,pop,"live, america's got talent"
lLcejhutsDE,8,150,Naomi,pop,"live, the voice, child"
lLcejhutsDE,154,352,"Nikki, Anamaria, Angie",pop,"live, the voice, child"
lLcejhutsDE,356,472,Jesse,pop,"live, the voice, child"
lLcejhutsDE,480,592,Luca,pop,"live, the voice, child"
wYwAXFl26t0,0,125,Lou Mai,pop,"original, live, the voice"
N0dbGGvsjf8,0,305,Queen,pop,"original, live"
QkCxE2Lh458,8,352,Marc Martel,pop,"original, cover"
RmtP8X4ZErs,4,300,Connie Talbot,pop,"original, cover"
ojRj2JK5oCI,11,360,Pentatonix,pop,"original, cover"
kLz7vMAke5g,0,333,none,pop,instrumental
9fTDV5cedJQ,0,350,"Halocene, First To Eleven, Violet Orlandi, Lauren Babic",pop,"original, cover"
caYW3PCVAEk,0,124,Benedetta Caretta,pop,"original, cover"
GOZj_Dzt5J8,4,127,Jonathan,pop,"original, live, the voice"
