video_id,start,end,singer,style,labels
kJQP7kiw5Fk,0,281,Luis Fonsi,pop,"original, official"
PIOXABoz-34,8,93,Jorge Eduardo,pop,"cover, live, the voice"
PIOXABoz-34,98,185,Aydan Calafiore,pop,"cover, live, the voice"
PIOXABoz-34,190,273,woman,pop,"cover, live, the voice"
PIOXABoz-34,279,390,man,pop,"cover, live, the voice"
PIOXABoz-34,394,435,woman,pop,"cover, live, the voice"
W9xA-1moLnA,0,130,Daddy Yankee,pop,"cover, live, x factor"
zrJtFy51fRo,19,221,Luis Fonsi,pop,"original, live"
5czAewJNegc,31,114,Carlos,pop,"cover, live, x factor"
tLeFCKwhoUA,0,228,none,pop,instrumental
MvqvBSUX4bc,0,290,none,pop,"instrumental, sanfona, accordion"
