video_id,start,end,singer,style,labels
79fzeNUqQbQ,0,333,Madonna,pop,"original, official"
FcyoQwvLpNk,0,215,"Alex Goot, Andie Case",pop,"original, cover, guitar"
NREobnKVYws,0,120,Sam Perry,pop,"original, live, the voice, cover"
pG6FB2p0TcU,30,344,Madonna,pop,"original, live"
W7nVx9WMxDE,0,105,Nelly Furtado,pop,"original, live, cover"
8__-bW-l5dA,21,210,"Léa, Luigiano",pop,"cover, live, the voice"
Im1nBwCMtRQ,0,268,Anna Sharkunova,pop,"original, live, cover"
Csj2OnFZajs,0,193,DIAMANTE,pop,"original, cover"
Rnj4foluWOE,73,167,Virginia State University Gospel Chorale,pop,"original, cover, live, america's got talent"
VDn-J9z7rvs,3,312,"Melanie Mau, Martin Schnella",pop,"acoustic, cover, guitar, bass"
x18AZAmFNBk,0,342,none,pop,instrumental
-Ttb3U6W0YY,0,312,Glee,pop,"original, cover"
